,T,p,rho
8607,0.48790542618028676,0.271138959800022,0.7821961308976104
8608,0.06007716825011289,0.025027386298807186,0.9738221822857578
8609,0.1897243385921028,0.49164130317938404,0.9214844442526504
8610,0.6892563885846262,0.22841795980183754,0.6550289623243369
8611,0.5192243332861272,0.623574545437642,0.7737320238437517
8612,0.6186589693897709,0.13937366035322585,0.7039928490323585
8613,0.5620923924510296,0.9022197199892514,0.7580473351225983
8614,0.28095515334639953,0.5985030794342201,0.8833161954305608
8615,0.9691582100728254,0.9967935554951401,0.45681793261962156
8616,0.192791564557936,0.5046461080679729,0.9202857389984939
8617,0.7360575909046057,0.304493107104601,0.6126508519679669
8618,0.8540957291757918,0.18966906444077003,0.048054728939151935
8619,0.1255992255599626,0.676096232914168,0.9499515099070635
8620,0.11970917792954394,0.1936537102861231,0.9490909769499996
8621,0.032567715119021345,0.5375524903844725,0.988646735236088
8622,0.33833998352504513,0.9764159214422423,0.8622692527064758
8623,0.060432706851955564,0.02604238452441132,0.9736729969040779
8624,0.18035127927377115,0.5045066897408232,0.925546676141849
8625,0.3514985941197408,0.670014349530124,0.8529739195012924
8626,0.9866982255325982,0.18186701509258218,0.03617336729532168
8627,0.16754461096093332,0.12765722755990994,0.928179879647302
8628,0.7880969861649978,0.7441985195881246,0.592733269556101
8629,0.7738947898520361,0.2169478100660387,0.057343700291421024
8630,0.5697043156743595,0.6794851180570656,0.7488997511367262
8631,0.7989415829497101,0.64465563728373,0.5762356903206026
8632,0.322173459326618,0.3467794933995022,0.862893458446272
8633,0.11594934405951773,0.7165890904700365,0.9543254052915151
8634,0.29907451901227866,0.1692472537249502,0.8710870379741142
8635,0.4667793084736267,0.4488050614553999,0.7968857504125701
8636,0.5322838564250374,0.46609864491429587,0.7629472701404756
8637,0.6646868712998844,0.9446479201657083,0.7018552217850137
8638,0.6665425292172507,0.46726057995294146,0.6770890752196976
8639,0.7627509245977173,0.4671054248894475,0.5850445066040373
8640,0.3092269024810561,0.3103627530453249,0.8681939234257303
8641,0.18963376477542992,0.13795516457995727,0.9188116362209878
8642,0.9381358307089644,0.22611762392675827,0.05318206429809995
8643,0.8649606315579599,0.8753505638828849,0.5526628721338448
8644,0.555045887391702,0.9120696721062025,0.7616153257489383
8645,0.9384967388088143,0.4519999470906837,0.13890414555259295
8646,0.0890248603439554,0.545337512733138,0.9644804897498113
8647,0.27553025265195996,0.21082157198562546,0.8819363086617522
8648,0.09132607030563578,0.9591177571714603,0.9659107429610322
8649,0.38326720285331295,0.36890450656016316,0.8344307277067744
8650,0.03582398337514725,0.13168838405094052,0.9849950985319635
8651,0.8250892842974004,0.5084973306289698,0.5413252913639464
8652,0.43853293987788367,0.7064241674989361,0.8139466636164284
8653,0.2647479212717465,0.7016762485153852,0.8913538996673405
8654,0.3510329296532967,0.9294165829954715,0.8559513418997196
8655,0.4324072861994477,0.7466934863665693,0.8172653318416169
8656,0.615638009971527,0.7135205505292078,0.7234276641982681
8657,0.4981929472490323,0.8711836870344114,0.7885575838738116
8658,0.8323356479493187,0.803256802479714,0.5654065458841844
